Buy_CountI,Buy_CountN,Buy_I_Volume,Buy_N_Volume,Sell_CountI,Sell_CountN,Sell_I_Volume,Sell_N_Volume,bvol,cs,cs_id,eps,id,isin,l18,l30,mv,pc,pcc,pcp,pd1,pd2,pd3,pd4,pd5,pe,pf,pl,plc,plp,pmax,pmin,po1,po2,po3,po4,po5,py,qd1,qd2,qd3,qd4,qd5,qo1,qo2,qo3,qo4,qo5,time,tmax,tmin,tno,tval,tvol,z,zd1,zd2,zd3,zd4,zd5,zo1,zo2,zo3,zo4,zo5
83,1,23333442,12169541,813,7,10385104,25117879,1,سرمایه‌گذاری‌ها,56,995,65197850030400728,IRO1NMAD0001,نماد,گروه مالی نماد غدیر,360900000000000,4010,110,2.82,4010,4000,3970,3900,3870,4,4010,4010,110,2.82,4010,4010,0,0,0,0,0,3900,9880058,12794,3260,303000,3000,0,0,0,0,0,12:29:44,4010,3790,1122,142366961830,35502983,90000000000,126,3,2,2,1,0,0,0,0,0
369,1,2729915,30000,244,0,2759915,0,1,پیمانکاری صنعتی,45,1907,8646067353086740,IRO3BLSZ0001,بالاس,مهندسی ساختمان تاسیسات راه آهن,7453500000000,49690,990,2.03,49480,49420,49340,49320,49310,26.1,48700,49950,1250,2.57,50150,48700,49970,49980,49990,50000,50050,48700,2000,85,5000,2397,5000,100,6630,14000,10000,1000,12:29:49,50160,47240,1119,137145373850,2759915,150000000,1,1,1,2,1,1,1,2,1,1
275,1,28768897,435786,171,4,15184767,14019916,1,استخراج کانه‌های فلزی,13,598,67213778593531096,IRO7AIMP0001,وامیر,گروه صنعتی و معدنی امیر,73710000000000,11700,310,2.72,11730,11700,11690,11670,11660,19.6,11550,11730,340,2.99,11730,11320,0,0,0,0,0,11390,3792441,24221,15000,4305,40000,0,0,0,0,0,12:28:06,11730,11050,1117,341833889060,29204683,6300000000,44,4,3,1,4,0,0,0,0,0
316,3,10699555,1571703,188,3,9543087,2728171,1,صندوق سرمایه‌گذاری قابل معامله,68,,55376739611383226,IRT3FF020001,خوشه,ص.س.صندوق در صندوق خوشه گندم,23433750000000,31245,188,0.61,31377,31370,31369,31365,31355,,31569,31400,343,1.1,31569,31001,31400,31429,31493,31499,31500,31057,7225,13109,1396,1888,714,193035,3937,2800,5000,340530,13:03:48,31988,30126,1115,390727421367,12505285,750000000,1,2,1,2,3,1,1,1,1,4
369,25,5694614,803563,248,9,4841027,1657150,1,صندوق سرمایه‌گذاری قابل معامله,68,,28374437855144739,IRTKALTN0001,آلتون,صندوق س. کالای آسمان,257594400000000,71554,-528,-0.73,71655,71654,71651,71650,71649,,71690,71655,-427,-0.59,71900,70974,71803,71804,71809,71893,71894,72082,86600,4268,107000,35,170,30614,100000,20000,50000,2000,13:03:55,79290,64874,1112,502641085788,7024630,3600000000,5,3,2,2,1,3,1,1,1,1
436,5,5086843,829911,149,9,1179648,4737106,1,محصولات شیمیایی,44,9681,38568786927478796,IRO1PSHZ0001,شیراز,پتروشیمی‌شیراز,1089819000000000,71230,2070,2.99,71230,71190,71180,71160,71150,7.4,71230,71230,2070,2.99,71230,71070,0,0,0,0,0,69160,75400,3531,28905,188,4280,0,0,0,0,0,12:21:59,71230,67090,1111,421437914830,5916754,15300000000,18,3,4,1,4,0,0,0,0,0
143,8,16939473,246226591,230,9,31872310,231293754,1,صندوق سرمایه‌گذاری قابل معامله,68,,7803396484851273,IRT3KMDF0001,کارآمد,صندوق س.درآمد ثابت کارآمد-د,181930000000000,18193,23,0.13,18193,18192,18191,18190,18189,,18193,18194,24,0.13,18194,18190,18194,18195,18196,18197,18198,18170,299424261,1000000,1000000,1000000,3630231,9546539,1050000,1000000,1000000,1000000,13:03:39,18715,17625,1105,4795339388238,263585697,10000000000,8,1,1,1,5,1,2,1,1,1
199,20,8667170,1839575,372,5,701745,9805000,1,محصولات شیمیایی,44,8261,50247622569476338,IRO1BONA0001,بوعلی,پتروشیمی بوعلی سینا,987222600000000,49140,1430,3,49140,49130,49110,49050,49000,5.9,49140,49140,1430,3,49140,49140,51760,0,0,0,0,47710,15787459,2300,3702,3000,759,4074,0,0,0,0,12:29:14,49140,46280,1103,516301449300,10506745,20090000000,887,2,2,1,2,2,0,0,0,0
254,2,5731212,288599,661,3,4569692,1450119,1,زراعت و خدمات وابسته,1,2916,9155145921347611,IRO3APFZ0001,زفارس,کشت وصنعت و دامپروری پگاه فارس,33910398942600,23570,670,2.93,23580,23570,23550,23540,23520,8.1,23470,23580,680,2.97,23580,22510,23730,23740,23770,23790,24440,22900,79844,41032,1000,4000,47950,213,18000,625,100118,207,12:29:56,23580,22220,1100,141876782170,6019811,1438710180,13,4,1,1,1,1,1,6,2,1
390,3,33262158,5500000,291,4,28353496,10408662,1,مواد و محصولات دارویی,43,492,8915450910866216,IRO1DZAH0001,دزهراوی,داروسازی‌زهراوی,48809210850000,4590,120,2.68,4600,4590,4580,4570,4560,9.3,4570,4600,130,2.91,4600,4540,4710,4720,4750,4760,4770,4470,2970333,645921,288913,63009,669596,1062,8388,2821,17865,538,12:28:53,4600,4340,1089,177900247510,38762158,10633815000,18,13,4,5,10,1,2,1,1,1
382,2,40260134,3850246,275,3,29462814,14647566,1,سایر محصولات کانی غیرفلزی,54,567,4614779520007780,IRO1ARDK0001,کسرا,کاتالیست‌های ‌صنعتی‌ آریا,40602600000000,6180,170,2.83,6190,6180,6150,6140,6130,10.9,6170,6190,180,3,6190,6030,6210,6240,6270,6280,6300,6010,183714,93606,12274,3500,46150,1000,1900,1000,900,1000,12:28:23,6190,5830,1088,272517543160,44110380,6570000000,4,5,9,2,5,1,2,1,1,1
490,2,29149361,3733577,256,2,21129475,11753463,1,صندوق سرمایه‌گذاری قابل معامله,68,,67261627618765635,IRT1KHOD0001,خودران,صندوق س صنایع مفید2-بخشی,32522000000000,16261,469,2.97,16265,16264,16263,16259,16255,,16260,16265,473,3,16265,16018,0,0,0,0,0,15792,3863688,18665,500,999,884,0,0,0,0,0,12:29:59,16265,15319,1080,534693468465,32882938,2000000000,35,4,1,1,1,0,0,0,0,0
393,3,7175587,3915136,244,3,8847933,2242790,1,مواد و محصولات دارویی,43,1808,13243992182070788,IRO3RAPZ0001,درهآور,دارویی ره آورد تامین,46817645000000,17500,430,2.52,17540,17490,17450,17410,17400,9.7,17580,17580,510,2.99,17580,17310,0,0,0,0,0,17070,843,6000,7500,2720,6000,0,0,0,0,0,12:29:59,17580,16560,1079,194070837470,11090723,2675294000,1,2,4,2,3,0,0,0,0,0
510,0,20780014,0,184,2,13047264,7732750,1,خودرو و ساخت قطعات,34,4303,58482817740704549,IRO3KKHP0001,خکرمان,سرمایه گذاری آرمان گستر پاریز,48000000000000,9600,270,2.89,9600,9590,9570,9560,9550,2.2,9600,9600,270,2.89,9600,9460,9860,9970,10160,10220,10270,9330,931401,40203,90170,42354,318940,3050,1100,6501,530,2987,12:25:45,9600,9060,1075,199415448990,20780014,5000000000,12,11,10,7,8,2,1,2,1,2
235,3,4735309,596800,204,9,3861403,1470706,1,صندوق سرمایه‌گذاری قابل معامله,68,,28255729477187163,IRTKZARV0001,زروان,صندوق س.کالای ویستا,230380000000000,46076,-191,-0.41,46123,46122,46121,46120,46118,,45900,46162,-105,-0.23,46300,45590,46159,46160,46161,46162,46163,46267,118,25506,1000,1229,919,22973,100000,100000,94590,128231,13:03:24,50893,41641,1059,281143705437,6101747,5000000000,1,4,1,3,4,4,1,1,1,2
411,5,12922860,2900000,248,5,7121281,8701579,1,محصولات غذایی و آشامیدنی به جز قند و شکر,42,3154,35158826900216508,IRO1PIAZ0001,غاذر,کشت‌وصنعت‌پیاذر,27839465680000,32240,770,2.45,32410,32400,32390,32360,32350,10.2,32000,32410,940,2.99,32410,31470,0,0,0,0,0,31470,3364912,103551,10617,1400,4542,0,0,0,0,0,12:29:58,32410,30530,1042,510082851070,15822860,863507000,43,7,2,3,2,0,0,0,0,0
200,1,17374245,129310,671,4,9818687,7684868,1,محصولات غذایی و آشامیدنی به جز قند و شکر,42,929,8000351713789858,IRO3NRVZ0001,نان,صنایع غذایی رضوی,66000000000000,6600,180,2.8,6610,6600,6590,6570,6560,7.1,6420,6610,190,2.96,6610,6420,6630,6800,6810,0,0,6420,8187153,158842,12962,58491,7010,1963,509,6733,0,0,12:29:32,6610,6230,1041,115540003680,17503555,10000000000,71,9,3,4,2,2,1,4,0,0
