<نماد>,<وضعیت در سود بودن نماد>,<حجم>,<تعداد>,<ارزش>,<ارزش مفهومی>,<موقعیت های باز>,<درصد تغییر>,<قیمت پایانی>,<درصد تغییر>,<قیمت آخرین معامله>>,<درصد تغییر>,<حجم خرید>,<قیمت خرید>,<قیمت فروش>,<حجم فروش>,<اندازه قرارداد>,<قیمت اعمال>,<روز باقی مانده تا سررسید>,<نماد پایه>,<پایانی دارایی پایه>,<درصد تغییر>,<آخرین معامله دارایی پایه>,<درصد تغییر>,<تاریخ شروع>,<تاریخ پایان>,<حجم فروش>,<قیمت فروش>,<قیمت خرید>,<حجم خرید>,<درصد تغییر>,<قیمت آخرین معامله>>,<درصد تغییر>,<قیمت پایانی>,<درصد تغییر>,<موقعیت های باز>,<ارزش مفهومی>,<ارزش>,<تعداد>,<حجم>,<وضعیت در سود بودن نماد>,<نماد>
ضسپا7030,ITM,261371,687,31130932000.00,180300888000.00,511581,37.12,119,14.42,114,9.62,896,114,118,20,1000,650,51,خساپا,696,1.90,695,1.76,20260718,20261021,0,0,7,1650,0,1,0,1,0,0,0.00,0.00,0,0,OTM,طسپا7030
ضذوب6012,ITM,0,0,0.00,0.00,0,0,1,0,1,0,50,253,0,0,1000,320,9,ذوب,575,2.86,575,2.86,20260613,20260909,500,2,0,0,0,1,0,1,0,600,0.00,0.00,0,0,OTM,طذوب6012
ضهرم6041,ITM,39,9,1167000000.00,2208484000.00,26986,-0.14,29923,-3.24,30000,-2.99,4,27500,30893,1,1000,28000,16,اهرم,58122,-1.30,57989,-1.53,20260620,20260916,1127,9,3,1500,11.11,10,11.11,10,-0.01,93349,571710000.00,100000.00,1,10,OTM,طهرم6041
ضهرم6043,ITM,3580,122,86326315000.00,206914320000.00,99875,-3.44,24113,-3.84,23999,-4.30,10,23600,23999,3,1000,34000,16,اهرم,58122,-1.30,57989,-1.53,20260620,20260916,298,8,4,75,-71.43,8,-60.71,11,-1.22,374338,267928590000.00,60434000.00,90,5312,OTM,طهرم6043
ضملت7037,ITM,302,7,251600000.00,469912000.00,7536,-0.04,833,2.46,800,-1.60,100,673,840,100,1000,754,44,وبملت,1555,1.50,1542,0.65,20260718,20261014,1000,10,1,10100,0,1,0,1,0,0,0.00,0.00,0,0,OTM,طملت7037
ضصاد7041,ITM,6208,16,2444305000.00,6487360000.00,29109,-0.01,394,-3.43,381,-6.62,100,400,450,1015,1000,650,44,وبصادر,1045,2.85,1046,2.95,20260613,20261014,0,0,1,100,0,1,0,1,0,0,0.00,0.00,0,0,OTM,طصاد7041
ضصاد9043,ITM,1330,8,441151000.00,1391180000.00,85758,0.07,332,0,331,-0.30,30,221,345,485,1000,900,100,وبصادر,1045,2.85,1046,2.95,20260815,20261209,0,0,6,266,0,1,0,1,0,0,0.00,0.00,0,0,OTM,طصاد9043
ضخود8057,ITM,27141,182,6655830000.00,18369019000.00,394169,-1.22,245,-2.00,247,-1.20,79,240,247,1756,1000,500,58,خودرو,714,-2.19,717,-1.78,20260801,20261028,980,18,1,400,12.5,18,12.5,18,0.88,2303,14260000.00,360000.00,1,20,OTM,طخود8057
ضخود8064,OTM,57164,145,2924737000.00,40757262000.00,665213,5.42,51,15.91,49,11.36,8300,48,50,1217,1000,900,58,خودرو,714,-2.19,717,-1.78,20260801,20261028,0,0,29,99,0,1,0,1,0,0,0.00,0.00,0,0,ITM,طخود8064
ضخود9050,ITM,8284,36,2303591000.00,5785995000.00,20334,66.77,278,-3.81,278,-3.81,10,268,279,5,1000,500,86,خودرو,714,-2.19,717,-1.78,20260829,20261125,0,0,1,100,0,1,0,1,0,0,0.00,0.00,0,0,OTM,طخود9050
