<نماد>,<وضعیت در سود بودن نماد>,<حجم>,<تعداد>,<ارزش>,<ارزش مفهومی>,<موقعیت های باز>,<درصد تغییر>,<قیمت پایانی>,<درصد تغییر>,<قیمت آخرین معامله>>,<درصد تغییر>,<حجم خرید>,<قیمت خرید>,<قیمت فروش>,<حجم فروش>,<اندازه قرارداد>,<قیمت اعمال>,<روز باقی مانده تا سررسید>,<نماد پایه>,<پایانی دارایی پایه>,<درصد تغییر>,<آخرین معامله دارایی پایه>,<درصد تغییر>,<تاریخ شروع>,<تاریخ پایان>,<حجم فروش>,<قیمت فروش>,<قیمت خرید>,<حجم خرید>,<درصد تغییر>,<قیمت آخرین معامله>>,<درصد تغییر>,<قیمت پایانی>,<درصد تغییر>,<موقعیت های باز>,<ارزش مفهومی>,<ارزش>,<تعداد>,<حجم>,<وضعیت در سود بودن نماد>,<نماد>
ضهرم7055,ITM,423,79,12528022000.00,24910047000.00,4703,-3.71,29617,2.59,30000,3.92,7,29511,30100,22,1000,30000,53,اهرم,58889,3.75,59032,4.00,20260725,20261021,50,480,174,50,0,300,-33.33,200,31.41,2100,35684916000.00,121500000.00,3,606,OTM,طهرم7055
ضهرم7056,ITM,303,87,7862831000.00,17784176000.00,8341,0.23,25950,4.87,26200,5.88,50,17001,26990,2,1000,34000,53,اهرم,58889,3.75,59032,4.00,20260725,20261021,66,350,223,14,29.82,222,34.50,230,-0.85,17241,16665304000.00,65161000.00,9,283,OTM,طهرم7056
ضهرم7057,ITM,4188,418,92362508000.00,246332687000.00,35051,-1.52,22054,1.97,22453,3.82,7,22041,22451,1,1000,38000,53,اهرم,58889,3.75,59032,4.00,20260725,20261021,60,480,441,3,-12.60,430,0.41,494,1.61,80353,485060456000.00,4078180000.00,200,8248,OTM,طهرم7057
ضهرم7058,ITM,21429,2013,397932909000.00,1261932381000.00,92903,-4.48,18570,4.24,18690,4.92,24,18500,18698,69,1000,42000,53,اهرم,58889,3.75,59032,4.00,20260725,20261021,227,885,819,300,-8.52,880,-7.90,886,0.41,146164,1794583386000.00,27010487000.00,1328,30475,OTM,طهرم7058
ضهرم7059,ITM,29462,1890,451938629000.00,1734045494000.00,121009,-5.67,15340,6.42,15380,6.69,9,15271,15389,148,1000,46000,53,اهرم,58889,3.75,59032,4.00,20260725,20261021,101,1297,1225,4,-17.23,1249,-5.50,1426,6.18,70710,1522162872000.00,36857567000.00,1302,25848,OTM,طهرم7059
ضهرم7060,ITM,125254,6048,1496820603000.00,7375376138000.00,221924,-2.24,11950,6.54,12200,8.77,1,12100,12215,17,1000,50000,53,اهرم,58889,3.75,59032,4.00,20260725,20261021,1000,2014,1974,2,-18.15,1980,-11.20,2148,18.51,379985,12791691913000.00,466517012000.00,6239,217234,OTM,طهرم7060
ضهرم7061,ITM,65712,3259,524168577000.00,3865415071000.00,176970,-0.71,7977,7.96,8105,9.69,70,8080,8133,36,1000,56000,53,اهرم,58889,3.75,59032,4.00,20260725,20261021,25,4060,4003,6,-8.87,4005,-4.80,4184,35.11,79752,3155213731000.00,224156312000.00,2710,53579,OTM,طهرم7061
ضهرم7062,OTM,149130,3924,707254898000.00,8781351013000.00,321124,4.75,4743,8.07,4880,11.19,10,4850,4917,50,1000,62000,53,اهرم,58889,3.75,59032,4.00,20260725,20261021,10,7000,6840,8,-5.85,6910,-4.65,6998,48.27,41724,1336309188000.00,158802289000.00,1490,22692,ITM,طهرم7062
ضهرم8024,ITM,188,50,5812595000.00,11071132000.00,1273,1.27,30918,4.18,31400,5.81,12,31001,31999,14,1000,30000,81,اهرم,58889,3.75,59032,4.00,20260822,20261118,9,850,122,22,-84.02,222,-84.02,222,81.82,20,529848000.00,1998000.00,1,9,OTM,طهرم8024
ضهرم8025,ITM,39,15,1081770000.00,2296203000.00,235,-0.42,27738,2.74,28000,3.71,2,26800,31995,9,1000,34000,81,اهرم,58889,3.75,59032,4.00,20260822,20261118,0,0,111,22,0,1,0,1,0,0,0.00,0.00,0,0,OTM,طهرم8025
