<نماد>,<وضعیت در سود بودن نماد>,<حجم>,<تعداد>,<ارزش>,<ارزش مفهومی>,<موقعیت های باز>,<درصد تغییر>,<قیمت پایانی>,<درصد تغییر>,<قیمت آخرین معامله>>,<درصد تغییر>,<حجم خرید>,<قیمت خرید>,<قیمت فروش>,<حجم فروش>,<اندازه قرارداد>,<قیمت اعمال>,<روز باقی مانده تا سررسید>,<نماد پایه>,<پایانی دارایی پایه>,<درصد تغییر>,<آخرین معامله دارایی پایه>,<درصد تغییر>,<تاریخ شروع>,<تاریخ پایان>,<حجم فروش>,<قیمت فروش>,<قیمت خرید>,<حجم خرید>,<درصد تغییر>,<قیمت آخرین معامله>>,<درصد تغییر>,<قیمت پایانی>,<درصد تغییر>,<موقعیت های باز>,<ارزش مفهومی>,<ارزش>,<تعداد>,<حجم>,<وضعیت در سود بودن نماد>,<نماد>
ضملت8068,ITM,1881,28,1549497000.00,2881692000.00,33857,3.18,824,11.65,832,12.74,1,832,900,10,1000,800,74,وبملت,1532,2.96,1532,2.96,20260815,20261111,1,10,4,2000,80,9,60,8,120.36,1104,1533532000.00,8213000.00,3,1001,OTM,طملت8068
ضملت8069,ITM,3444,34,2462154000.00,5274676000.00,11569,6.61,715,10.85,720,11.63,1,730,770,181,1000,900,74,وبملت,1532,2.96,1532,2.96,20260815,20261111,1,100,4,1000,14.29,8,14.29,8,0,2166,1532000.00,8000.00,1,1,OTM,طملت8069
ضملت8070,ITM,1121,7,718407000.00,1717372000.00,6940,16.70,641,18.27,625,15.31,1,630,650,3,1000,1000,74,وبملت,1532,2.96,1532,2.96,20260815,20261111,500,51,1,10700,-12.07,51,-12.07,51,3.33,310,15320000.00,510000.00,1,10,OTM,طملت8070
ضملت8071,ITM,922,26,510920000.00,1412504000.00,32985,-0.34,554,11.69,550,10.89,50,550,565,99,1000,1100,74,وبملت,1532,2.96,1532,2.96,20260815,20261111,1000,98,6,266,0,1,0,1,0,0,0.00,0.00,0,0,OTM,طملت8071
ضملت8072,ITM,1058,16,489633000.00,1565704000.00,26058,-0.61,463,6.19,499,14.45,20,460,498,1001,1000,1200,74,وبملت,1532,2.96,1532,2.96,20260815,20261111,499,399,3,600,0,11,0,11,0,500,0.00,0.00,0,0,OTM,طملت8072
ضملت8073,ITM,10466,52,4479890000.00,16033912000.00,52922,13.74,428,22.64,400,14.61,114,401,435,1078,1000,1300,74,وبملت,1532,2.96,1532,2.96,20260815,20261111,10,100,2,25,0,100,0,100,0,424,0.00,0.00,0,0,OTM,طملت8073
ضملت8074,ITM,981,21,322195000.00,1502892000.00,48963,1.07,328,22.39,346,29.10,44,346,347,1,1000,1400,74,وبملت,1532,2.96,1532,2.96,20260815,20261111,0,0,4,244,0,1,0,1,0,0,0.00,0.00,0,0,OTM,طملت8074
ضملت8075,ITM,3910,43,1100627000.00,5990120000.00,51404,1.85,281,27.15,298,34.84,400,268,323,58,1000,1500,74,وبملت,1532,2.96,1532,2.96,20260815,20261111,0,0,6,266,0,1,0,1,0,0,0.00,0.00,0,0,OTM,طملت8075
ضملت8076,OTM,858,19,211254000.00,1314456000.00,5583,10.99,246,30.85,249,32.45,100,230,267,1,1000,1600,74,وبملت,1532,2.96,1532,2.96,20260815,20261111,0,0,6,266,0,1,0,1,0,0,0.00,0.00,0,0,ITM,طملت8076
ضملت8077,OTM,7573,51,1262633000.00,11601836000.00,18262,45.40,167,11.33,189,26.00,500,175,199,20,1000,1700,74,وبملت,1532,2.96,1532,2.96,20260815,20261111,0,0,16,5,0,1,0,1,0,0,0.00,0.00,0,0,ITM,طملت8077
ضملت8078,OTM,2263,19,237402000.00,3466916000.00,2964,194.34,105,31.25,157,96.25,56,123,169,1,1000,1800,74,وبملت,1532,2.96,1532,2.96,20260815,20261111,0,0,45,5,0,1,0,1,0,0,0.00,0.00,0,0,ITM,طملت8078
ضملت8079,OTM,41739,138,3225936000.00,63944148000.00,51430,162.55,77,22.22,94,49.21,39,88,98,100,1000,1900,74,وبملت,1532,2.96,1532,2.96,20260815,20261111,0,0,55,35,0,1,0,1,0,0,0.00,0.00,0,0,ITM,طملت8079
ضملت8080,OTM,59951,190,4435259000.00,91584492000.00,103547,34.62,74,68.18,91,106.82,620,88,96,333,1000,2000,74,وبملت,1532,2.96,1532,2.96,20260815,20261111,0,0,44,44,0,452,0,452,0,1000,0.00,0.00,0,0,ITM,طملت8080
ضصاد7035,ITM,1,1,606000.00,1016000.00,3605,0,606,-17.21,606,-17.21,9,636,800,6,1000,380,46,وبصادر,1016,2.94,1016,2.94,20260613,20261014,1,5,0,0,0,1,0,1,0,0,0.00,0.00,0,0,OTM,طصاد7035
ضصاد7036,ITM,557,9,371931000.00,565912000.00,2297,0.88,668,2.77,698,7.38,100,1,698,187,1000,400,46,وبصادر,1016,2.94,1016,2.94,20260613,20261014,0,0,0,0,0,1,0,1,0,0,0.00,0.00,0,0,OTM,طصاد7036
ضصاد7037,ITM,530,4,314530000.00,538480000.00,5837,9.37,593,15.82,651,27.15,130,600,659,535,1000,450,46,وبصادر,1016,2.94,1016,2.94,20260613,20261014,0,0,0,0,0,1,0,1,0,0,0.00,0.00,0,0,OTM,طصاد7037
ضصاد7038,ITM,1020,8,662050000.00,1036320000.00,1494,202.43,649,15.89,650,16.07,100,1,650,670,1000,500,46,وبصادر,1016,2.94,1016,2.94,20260613,20261014,0,0,0,0,0,1,0,1,0,0,0.00,0.00,0,0,OTM,طصاد7038
ضصاد7039,ITM,1492,12,800266000.00,1414272000.00,6487,-2.16,536,3.88,536,3.88,500,500,550,461,1000,550,46,وبصادر,1016,2.94,1016,2.94,20260613,20261014,0,0,0,0,0,1,0,1,0,0,0.00,0.00,0,0,OTM,طصاد7039
ضصاد7040,ITM,36,3,18688000.00,36576000.00,3699,0,519,13.07,540,17.65,5,460,0,0,1000,600,46,وبصادر,1016,2.94,1016,2.94,20260613,20261014,0,0,1,100,0,1,0,1,0,0,0.00,0.00,0,0,OTM,طصاد7040
ضصاد7041,ITM,153,5,62450000.00,155448000.00,29111,0.01,408,9.09,410,9.63,1,375,530,110,1000,650,46,وبصادر,1016,2.94,1016,2.94,20260613,20261014,0,0,1,100,0,1,0,1,0,0,0.00,0.00,0,0,OTM,طصاد7041
ضصاد7042,ITM,20991,134,8424288000.00,21267928000.00,535055,-0.03,401,15.56,412,18.73,1044,399,423,1,1000,700,46,وبصادر,1016,2.94,1016,2.94,20260613,20261014,0,0,1,100,-20,4,0,5,0,111,0.00,0.00,0,0,OTM,طصاد7042
ضصاد7043,ITM,25491,127,9117636000.00,25632664000.00,412405,-0.47,358,14.01,361,14.97,20,357,372,490,1000,750,46,وبصادر,1016,2.94,1016,2.94,20260613,20261014,0,0,1,100,0,1,0,1,0,0,0.00,0.00,0,0,OTM,طصاد7043
ضصاد7044,ITM,38492,225,12292988000.00,39107872000.00,300239,1.08,319,12.72,325,14.84,50,320,330,260,1000,800,46,وبصادر,1016,2.94,1016,2.94,20260613,20261014,0,0,1,100,0,1,0,1,0,0,0.00,0.00,0,0,OTM,طصاد7044
ضصاد7045,ITM,50035,209,12579210000.00,50185320000.00,189672,7.30,251,20.10,255,22.01,1000,246,262,1040,1000,900,46,وبصادر,1016,2.94,1016,2.94,20260613,20261014,0,0,1,100,0,1,0,1,0,0,0.00,0.00,0,0,OTM,طصاد7045
ضصاد7046,ITM,83334,436,14606105000.00,84667344000.00,204112,12.22,175,22.38,185,29.37,20,181,185,709,1000,1000,46,وبصادر,1016,2.94,1016,2.94,20260613,20261014,0,0,1,1100,0,1,0,1,0,0,0.00,0.00,0,0,OTM,طصاد7046
ضصاد9036,ITM,10,1,7450000.00,10160000.00,9242,0.11,745,35.45,745,35.45,50,390,0,0,1000,500,102,وبصادر,1016,2.94,1016,2.94,20260815,20261209,0,0,1,100,0,1,0,1,0,0,0.00,0.00,0,0,OTM,طصاد9036
ضصاد9037,ITM,0,0,0.00,0.00,0,0,1,0,1,0,1010,5,0,0,1000,550,102,وبصادر,1016,2.94,1016,2.94,20260815,20261209,0,0,1,100,0,1,0,1,0,0,0.00,0.00,0,0,OTM,طصاد9037
ضصاد9038,ITM,0,0,0.00,0.00,0,0,1,0,1,0,1000,126,0,0,1000,600,102,وبصادر,1016,2.94,1016,2.94,20260815,20261209,0,0,1,100,0,1,0,1,0,0,0.00,0.00,0,0,OTM,طصاد9038
ضصاد9039,ITM,0,0,0.00,0.00,273,0,385,0,385,0,111,11,0,0,1000,650,102,وبصادر,1016,2.94,1016,2.94,20260815,20261209,0,0,1,100,0,1,0,1,0,0,0.00,0.00,0,0,OTM,طصاد9039
ضصاد9040,ITM,0,0,0.00,0.00,1050,0,260,0,260,0,35,293,0,0,1000,700,102,وبصادر,1016,2.94,1016,2.94,20260815,20261209,0,0,1,100,0,1,0,1,0,0,0.00,0.00,0,0,OTM,طصاد9040
ضصاد9041,ITM,0,0,0.00,0.00,0,0,1,0,1,0,99,29,0,0,1000,750,102,وبصادر,1016,2.94,1016,2.94,20260815,20261209,0,0,1,100,0,1,0,1,0,0,0.00,0.00,0,0,OTM,طصاد9041
ضصاد9042,ITM,0,0,0.00,0.00,27,0,330,0,330,0,10,220,0,0,1000,800,102,وبصادر,1016,2.94,1016,2.94,20260815,20261209,0,0,1,100,0,1,0,1,0,0,0.00,0.00,0,0,OTM,طصاد9042
ضصاد9043,ITM,22652,78,7514014000.00,23014432000.00,85700,0.12,332,0,330,-0.60,2,327,338,193,1000,900,102,وبصادر,1016,2.94,1016,2.94,20260815,20261209,1000,195,50,40,19500,196,19700,198,0,5777,5869432000.00,1141596000.00,10,5777,OTM,طصاد9043
ضصاد9044,ITM,0,0,0.00,0.00,520,0,298,0,298,0,145,130,350,13,1000,1000,102,وبصادر,1016,2.94,1016,2.94,20260815,20261209,0,0,1,100,0,1,0,1,0,0,0.00,0.00,0,0,OTM,طصاد9044
ضصاد9045,OTM,0,0,0.00,0.00,0,0,1,0,1,0,44,44,0,0,1000,1100,102,وبصادر,1016,2.94,1016,2.94,20260815,20261209,0,0,1,100,0,1,0,1,0,0,0.00,0.00,0,0,ITM,طصاد9045
ضصاد9046,OTM,0,0,0.00,0.00,0,0,1,0,1,0,99,29,0,0,1000,1200,102,وبصادر,1016,2.94,1016,2.94,20260815,20261209,0,0,1,100,0,1,0,1,0,0,0.00,0.00,0,0,ITM,طصاد9046
ضصاد9047,OTM,54,2,7080000.00,54864000.00,111,0,131,20.18,190,74.31,44,44,190,56,1000,1300,102,وبصادر,1016,2.94,1016,2.94,20260815,20261209,0,0,1,100,0,1,0,1,0,0,0.00,0.00,0,0,ITM,طصاد9047
ضصاد7047,OTM,26426,78,3303817000.00,26848816000.00,18941,0,125,12400,130,12900,1585,130,170,1000,1000,1100,46,وبصادر,1016,2.94,1016,2.94,20260826,20261014,0,0,1,100,0,1,0,1,0,0,0.00,0.00,0,0,ITM,طصاد7047
ضصاد7048,OTM,242098,501,10384931000.00,245971568000.00,217218,0,43,4200,78,7700,2910,73,80,20,1000,1200,46,وبصادر,1016,2.94,1016,2.94,20260826,20261014,0,0,1,100,0,1,0,1,0,0,0.00,0.00,0,0,ITM,طصاد7048
ضجار6035,ITM,1294,14,928352000.00,1272002000.00,13669,7.62,717,7.01,720,7.46,200,632,736,200,1000,311,11,وتجارت,983,2.93,983,2.93,20260609,20260909,1192,2,0,0,0,1,0,1,0,3560,0.00,0.00,0,0,OTM,طجار6035
ضجار6036,ITM,198,1,138600000.00,194634000.00,6783,0,700,10.94,700,10.94,200,632,760,62,1000,331,11,وتجارت,983,2.93,983,2.93,20260609,20260909,0,0,0,0,0,10,0,10,0,2000,0.00,0.00,0,0,OTM,طجار6036
ضجار6037,ITM,1719,9,1184808000.00,1689777000.00,13461,5.12,689,9.71,692,10.19,100,1,700,60,1000,351,11,وتجارت,983,2.93,983,2.93,20260609,20260909,0,0,1,300,-20,4,0,5,0,2300,0.00,0.00,0,0,OTM,طجار6037
ضجار6038,ITM,0,0,0.00,0.00,4396,0,660,0,660,0,100,1,0,0,1000,371,11,وتجارت,983,2.93,983,2.93,20260609,20260909,0,0,0,0,0,15,0,15,0,550,0.00,0.00,0,0,OTM,طجار6038
ضجار6039,ITM,3569,36,2343932000.00,3508327000.00,58330,0.00,657,10.98,654,10.47,10,650,678,339,1000,391,11,وتجارت,983,2.93,983,2.93,20260609,20260909,7,6,0,0,0,7,0,7,0,3015,0.00,0.00,0,0,OTM,طجار6039
ضجار6040,ITM,450,5,273757000.00,442350000.00,69656,-0.06,608,14.93,591,11.72,80,582,625,409,1000,441,11,وتجارت,983,2.93,983,2.93,20260609,20260909,0,0,0,0,0,2,0,2,0,100,0.00,0.00,0,0,OTM,طجار6040
ضجار6041,ITM,2055,27,1119610000.00,2020065000.00,368018,-0.24,545,13.31,540,12.27,150,522,555,110,1000,491,11,وتجارت,983,2.93,983,2.93,20260609,20260909,39000,2,0,0,0,1,0,1,0.68,143228,1966000000.00,2000000.00,3,2000,OTM,طجار6041
ضجار6042,ITM,29926,145,14816218000.00,29417258000.00,1321408,-0.13,495,16.75,492,16.04,15,480,500,1300,1000,541,11,وتجارت,983,2.93,983,2.93,20260609,20260909,7982,1,0,0,0,1,0,1,0,113492,0.00,0.00,0,0,OTM,طجار6042
ضجار6043,ITM,148436,462,66239562000.00,144978738000.00,4356486,-0.15,446,19.25,447,19.52,918,446,448,2603,1000,591,11,وتجارت,983,2.93,983,2.93,20260609,20260909,3350,1,0,0,0,1,0,1,0,53384,0.00,0.00,0,0,OTM,طجار6043
ضجار6044,ITM,89184,368,35430015000.00,87667872000.00,2661745,-1.55,397,20.30,398,20.61,10,370,399,730,1000,641,11,وتجارت,983,2.93,983,2.93,20260609,20260909,0,0,0,0,0,1,0,1,0,8699,235920000.00,240000.00,1,240,OTM,طجار6044
ضجار6045,ITM,106528,355,37355845000.00,104717024000.00,1757110,-2.71,351,25.36,354,26.43,1000,340,365,3,1000,691,11,وتجارت,983,2.93,983,2.93,20260609,20260909,350,1,0,0,200,9,0,3,0,13670,0.00,0.00,0,0,OTM,طجار6045
ضجار6046,ITM,137796,397,42046678000.00,135453468000.00,1736286,-1.20,305,27.08,304,26.67,20,301,310,1155,1000,741,11,وتجارت,983,2.93,983,2.93,20260609,20260909,3473,2,0,0,0,2,-50,1,-3.69,13501,1852955000.00,2302000.00,14,1885,OTM,طجار6046
ضجار6047,ITM,201039,667,51872281000.00,196403400000.00,2325132,-0.58,258,35.08,261,36.65,1721,260,262,632,1000,791,11,وتجارت,983,2.93,983,2.93,20260609,20260909,0,0,1,3073,-75,1,-50,2,-2.30,36520,869955000.00,1743000.00,11,885,OTM,طجار6047
ضجار8022,ITM,334,14,235381000.00,328322000.00,431091,0.00,705,13.34,690,10.93,1,650,730,766,1000,391,74,وتجارت,983,2.93,983,2.93,20260712,20261111,10,45,2,373,0,5,0,5,0,11342,0.00,0.00,0,0,OTM,طجار8022
ضجار8023,ITM,61,4,37750000.00,59963000.00,58299,-0.03,619,3.69,700,17.25,10,581,690,15,1000,441,74,وتجارت,983,2.93,983,2.93,20260712,20261111,0,0,1,100,0,1,0,1,0,0,0.00,0.00,0,0,OTM,طجار8023
ضجار8024,ITM,0,0,0.00,0.00,110,0,300,0,300,0,100,1,0,0,1000,491,74,وتجارت,983,2.93,983,2.93,20260712,20261111,0,0,1,100,0,1,0,1,0,0,0.00,0.00,0,0,OTM,طجار8024
ضجار8025,ITM,0,0,0.00,0.00,2699,0,500,0,500,0,1,351,1500,2,1000,541,74,وتجارت,983,2.93,983,2.93,20260712,20261111,0,0,1,100,0,22,0,22,0,2,0.00,0.00,0,0,OTM,طجار8025
ضجار8026,ITM,1171,8,629973000.00,1151093000.00,143057,0.07,538,16.70,540,17.14,20,505,540,500,1000,591,74,وتجارت,983,2.93,983,2.93,20260712,20261111,0,0,1,100,0,1,0,1,0,0,0.00,0.00,0,0,OTM,طجار8026
ضجار8027,ITM,20764,64,10044716000.00,20411012000.00,121813,-0.89,484,16.35,492,18.27,6,450,520,776,1000,641,74,وتجارت,983,2.93,983,2.93,20260712,20261111,0,0,1,100,0,1,0,1,0,0,0.00,0.00,0,0,OTM,طجار8027
ضجار8028,ITM,1550,10,680940000.00,1523650000.00,71683,-0.43,439,24.36,470,33.14,100,335,469,99,1000,691,74,وتجارت,983,2.93,983,2.93,20260712,20261111,0,0,1,100,0,1,0,1,0,0,0.00,0.00,0,0,OTM,طجار8028
ضجار8029,ITM,11143,44,4559781000.00,10953569000.00,93688,0.39,409,25.85,420,29.23,100,407,428,200,1000,741,74,وتجارت,983,2.93,983,2.93,20260712,20261111,0,0,1,100,0,1,0,1,0,0,0.00,0.00,0,0,OTM,طجار8029
ضجار8030,ITM,35953,174,13450443000.00,35341799000.00,386244,3.97,374,32.62,381,35.11,201,372,395,10,1000,791,74,وتجارت,983,2.93,983,2.93,20260712,20261111,0,0,2,5,0,1,0,1,0,0,0.00,0.00,0,0,OTM,طجار8030
ضجار8031,ITM,18782,61,5921641000.00,18462706000.00,174312,6.69,315,36.96,359,56.09,750,313,360,1000,1000,891,74,وتجارت,983,2.93,983,2.93,20260712,20261111,0,0,2,5,0,1,0,1,0,0,0.00,0.00,0,0,OTM,طجار8031
ضجار8032,OTM,66611,191,17461297000.00,65478613000.00,178784,51.04,262,58.79,262,58.79,1200,250,280,130,1000,991,74,وتجارت,983,2.93,983,2.93,20260712,20261111,0,0,60,200,0,1,0,1,0,0,0.00,0.00,0,0,ITM,طجار8032
ضجار6048,ITM,305747,898,65431250000.00,300549301000.00,1355168,6.16,214,43.62,215,44.30,1259,215,215,1200,1000,841,11,وتجارت,983,2.93,983,2.93,20260818,20260909,1000,10,5,20,-50,4,-50,4,-1.49,140974,14617210000.00,55371000.00,67,14870,OTM,طجار6048
ضجار6049,ITM,385389,987,53351679000.00,378837387000.00,1347754,3.87,138,81.58,141,85.53,2250,138,140,1000,1000,941,11,وتجارت,983,2.93,983,2.93,20260818,20260909,1000,34,23,34,-39.47,23,-36.84,24,6.34,26688,1584596000.00,38018000.00,10,1612,OTM,طجار6049
ضجار6050,OTM,298849,864,25500043000.00,293253475000.00,264732,466.07,85,97.67,82,90.70,123,81,84,378,1000,1041,11,وتجارت,983,2.93,983,2.93,20260826,20260909,0,0,10,1000,0,1,0,1,0,0,0.00,0.00,0,0,ITM,طجار6050
ضجار6051,OTM,123074,407,6652690000.00,120978793000.00,108535,565.65,54,92.86,45,60.71,2000,45,47,19,1000,1141,11,وتجارت,983,2.93,983,2.93,20260826,20260909,0,0,44,44,0,1,0,1,0,0,0.00,0.00,0,0,ITM,طجار6051
ضجار8033,OTM,0,0,0.00,0.00,0,0,1,0,1,0,0,0,0,0,1000,1091,74,وتجارت,983,2.93,983,2.93,20260831,20261111,0,0,0,0,0,1,0,1,0,0,0.00,0.00,0,0,ITM,طجار8033
ضجار8034,OTM,0,0,0.00,0.00,0,0,1,0,1,0,0,0,0,0,1000,1191,74,وتجارت,983,2.93,983,2.93,20260831,20261111,0,0,0,0,0,1,0,1,0,0,0.00,0.00,0,0,ITM,طجار8034
ضخود7126,ITM,22447,127,8838354000.00,16386310000.00,42850,-20.05,394,5.35,403,7.75,23,400,403,84,1000,340,32,خودرو,730,2.10,735,2.80,20260701,20260930,4661,3,1,88433,50,3,0,2,2.51,245065,8826732000.00,24218000.00,25,12108,OTM,طخود7126
ضخود7127,ITM,29,4,10935000.00,21170000.00,2923,-0.98,377,4.14,385,6.35,100,366,390,20,1000,360,32,خودرو,730,2.10,735,2.80,20260701,20260930,3,4,1,17114,0,2,0,2,13.83,24686,2175000000.00,6000000.00,6,3000,OTM,طخود7127
ضخود7128,ITM,229,11,82090000.00,167170000.00,22910,-0.72,358,4.99,369,8.21,100,351,369,100,1000,380,32,خودرو,730,2.10,735,2.80,20260701,20260930,500,12,1,1100,0,10,0,10,0,4509,0.00,0.00,0,0,OTM,طخود7128
ضخود7129,ITM,40661,145,13591533000.00,29682530000.00,338894,-4.03,334,5.36,336,5.99,1,335,342,104,1000,400,32,خودرو,730,2.10,735,2.80,20260701,20260930,1251,3,2,4125,0,3,0,3,2.45,213574,3960250000.00,16150000.00,8,5525,OTM,طخود7129
ضخود7130,ITM,67681,248,19599962000.00,49407130000.00,304406,4.96,290,7.41,295,9.26,500,280,296,13000,1000,450,32,خودرو,730,2.10,735,2.80,20260701,20260930,0,0,1,1000,0,4,0,4,0,2013,0.00,0.00,0,0,OTM,طخود7130
ضخود7131,ITM,452557,1482,105892808000.00,330366610000.00,2660184,-0.40,234,7.83,241,11.06,500,238,241,1590,1000,500,32,خودرو,730,2.10,735,2.80,20260701,20260930,50430,5,3,2000,0,4,0,4,3.49,1675526,178478430000.00,871945000.00,517,244491,OTM,طخود7131
ضخود7132,ITM,902217,2236,169081287000.00,658286990000.00,3861550,-0.29,187,10.0,191,12.35,1676,189,192,1191,1000,550,32,خودرو,730,2.10,735,2.80,20260701,20260930,12520,6,5,304,-16.67,5,-16.67,5,15.56,1094933,570362140000.00,3948916000.00,1670,781318,OTM,طخود7132
ضخود7133,ITM,3415099,8045,494750052000.00,2492460170000.00,8390939,-2.19,145,13.28,147,14.84,1096,147,148,508,1000,600,32,خودرو,730,2.10,735,2.80,20260701,20260930,31238,11,10,8204,-26.67,11,-26.67,11,55.15,2261419,992470770000.00,15372555000.00,2958,1361984,OTM,طخود7133
ضخود7134,ITM,4416815,9950,475550003000.00,3224272030000.00,9327408,3.24,108,17.39,109,18.48,1009,108,109,1,1000,650,32,خودرو,730,2.10,735,2.80,20260701,20260930,10,25,24,2000,-16.67,25,-13.33,26,72.26,775795,511775990000.00,18329868000.00,1759,701653,OTM,طخود7134
ضخود7135,ITM,4260641,9447,348213632000.00,3109318930000.00,6517166,22.10,82,24.24,85,28.79,3200,83,86,12008,1000,700,32,خودرو,730,2.10,735,2.80,20260701,20260930,2567,51,47,336,-10.53,51,-10.53,51,630.54,910273,908651440000.00,63628827000.00,3084,1247728,OTM,طخود7135
ضخود7136,OTM,3198787,8035,193676033000.00,2335042970000.00,5235028,23.88,61,27.08,63,31.25,4000,62,63,17922,1000,750,32,خودرو,730,2.10,735,2.80,20260701,20260930,2000,78,73,900,-16.09,73,-6.90,81,1039.55,115744,95747530000.00,10607629000.00,348,131161,ITM,طخود7136
ضخود7137,OTM,2485048,5427,106332356000.00,1814085040000.00,3836268,19.83,43,30.30,43,30.30,1000,42,44,2641,1000,800,32,خودرو,730,2.10,735,2.80,20260701,20260930,66,112,104,110,0.90,112,-3.60,107,1135.30,13403,11497500000.00,1679072000.00,81,15750,ITM,طخود7137
ضخود7138,OTM,7199791,15549,113008394000.00,5255847430000.00,10014189,31.78,16,23.08,14,7.69,100859,13,14,194,1000,900,32,خودرو,730,2.10,735,2.80,20260701,20260930,0,0,102,100,0,1,0,1,0,0,0.00,0.00,0,0,ITM,طخود7138
ضخود8052,ITM,24068,160,9546187000.00,17569640000.00,97318,-2.40,397,3.39,401,4.43,20,399,403,172,1000,340,60,خودرو,730,2.10,735,2.80,20260801,20261028,500,25,1,100,0,14,0,14,0,209,0.00,0.00,0,0,OTM,طخود8052
ضخود8053,ITM,1021,35,400284000.00,745330000.00,8525,0.27,392,8.29,386,6.63,20,375,395,100,1000,360,60,خودرو,730,2.10,735,2.80,20260801,20261028,10,46,2,200,0,3,0,3,0,512,0.00,0.00,0,0,OTM,طخود8053
ضخود8054,ITM,516,11,193547000.00,373030000.00,5456,0.42,375,5.63,390,9.86,100,361,395,1000,1000,380,60,خودرو,730,2.10,735,2.80,20260801,20261028,11,87,2,52,0,4,0,4,0,4044,0.00,0.00,0,0,OTM,طخود8054
ضخود8055,ITM,15593,62,5525126000.00,11382890000.00,57207,14.04,354,6.31,340,2.10,55,340,359,498,1000,400,60,خودرو,730,2.10,735,2.80,20260801,20261028,0,0,1,100,0,10,0,10,0,2,0.00,0.00,0,0,OTM,طخود8055
ضخود8056,ITM,13135,29,4262649000.00,9575415000.00,19965,98.97,325,15.25,325,15.25,3,293,320,500,1000,450,60,خودرو,730,2.10,735,2.80,20260801,20261028,0,0,1,100,0,1,0,1,0,0,0.00,0.00,0,0,OTM,طخود8056
ضخود8057,ITM,65110,272,16252276000.00,47305460000.00,399048,-4.72,250,5.49,252,6.33,100,250,254,200,1000,500,60,خودرو,730,2.10,735,2.80,20260801,20261028,100,135,7,100,-66.67,16,-66.67,16,2.56,2283,41610000.00,900000.00,4,57,OTM,طخود8057
ضخود8058,ITM,29486,147,6097191000.00,21049550000.00,149406,-2.77,207,7.25,218,12.95,1001,204,219,1002,1000,550,60,خودرو,730,2.10,735,2.80,20260801,20261028,100,48,16,1,-75.71,17,-74.29,18,74.00,5415,2271030000.00,56955000.00,16,3111,OTM,طخود8058
ضخود8059,ITM,158260,489,26436711000.00,115391830000.00,340030,3.58,167,9.15,170,11.11,100,165,172,10,1000,600,60,خودرو,730,2.10,735,2.80,20260801,20261028,200,50,6,266,0,1,0,1,0,0,0.00,0.00,0,0,OTM,طخود8059
ضخود8060,ITM,77357,268,10393177000.00,56470610000.00,834937,2.71,134,8.94,136,10.57,1500,131,139,15000,1000,650,60,خودرو,730,2.10,735,2.80,20260801,20261028,0,0,12,80,0,1,0,1,0,0,0.00,0.00,0,0,OTM,طخود8060
ضخود8061,ITM,465729,1171,48608618000.00,338529470000.00,996276,27.60,104,10.64,105,11.70,1000,105,107,1050,1000,700,60,خودرو,730,2.10,735,2.80,20260801,20261028,0,0,10,40,0,1,0,1,0,0,0.00,0.00,0,0,OTM,طخود8061
ضخود8062,OTM,148960,400,12358533000.00,108522530000.00,330761,36.49,83,15.28,85,18.06,130,83,89,109,1000,750,60,خودرو,730,2.10,735,2.80,20260801,20261028,0,0,20,1000,0,1,0,1,0,0,0.00,0.00,0,0,ITM,طخود8062
ضخود8063,OTM,268728,588,17517319000.00,196171440000.00,431127,20.30,65,8.33,70,16.67,153,69,70,7754,1000,800,60,خودرو,730,2.10,735,2.80,20260801,20261028,0,0,30,25,0,1,0,1,0,0,0.00,0.00,0,0,ITM,طخود8063
ضخود8064,OTM,177377,430,7890981000.00,129234820000.00,631000,10.59,44,22.22,49,36.11,1997,47,51,366,1000,900,60,خودرو,730,2.10,735,2.80,20260801,20261028,0,0,44,44,0,1,0,1,0,0,0.00,0.00,0,0,ITM,طخود8064
ضخود9048,ITM,3096,37,1160839000.00,2260080000.00,3045,0,375,37400,381,38000,7,371,382,50,1000,400,88,خودرو,730,2.10,735,2.80,20260829,20261125,0,0,1,100,0,1,0,1,0,0,0.00,0.00,0,0,OTM,طخود9048
ضخود9049,ITM,1083,4,368260000.00,790590000.00,1042,0,340,33900,339,33800,1,317,340,265,1000,450,88,خودرو,730,2.10,735,2.80,20260829,20261125,0,0,1,100,0,1,0,1,0,0,0.00,0.00,0,0,OTM,طخود9049
ضخود9050,ITM,12579,66,3638060000.00,9182670000.00,12193,0,289,28800,289,28800,231,281,289,52,1000,500,88,خودرو,730,2.10,735,2.80,20260829,20261125,0,0,1,100,0,1,0,1,0,0,0.00,0.00,0,0,OTM,طخود9050
ضخود9051,ITM,9650,33,2490800000.00,7044500000.00,7650,0,258,25700,262,26100,10,221,263,10,1000,550,88,خودرو,730,2.10,735,2.80,20260829,20261125,0,0,1,100,0,1,0,1,0,0,0.00,0.00,0,0,OTM,طخود9051
ضخود9052,ITM,190,2,55590000.00,138700000.00,190,0,293,29200,201,20000,910,201,765,1000,1000,600,88,خودرو,730,2.10,735,2.80,20260829,20261125,0,0,1,100,0,1,0,1,0,0,0.00,0.00,0,0,OTM,طخود9052
