نماد,نام,تعداد,حجم,ارزش,دیروز,آخرین معامله - مقدار,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین,P/E
# Full data available in local attachment MarketWatchPlus-1405_06_07.xlsx
# This is a compact version. See analysis_1405-06-07.md for summary.
وبملت,بانك ملت,20336,6475892222,9919282875966,1488,1532,2.96,1532,44,2.96,1514,1532,3.37
خودرو,ايران‌ خودرو,12629237828,12629237828,9215876988377,0,0,0,0,0,2.10,0,0,
شپنا,پالايش نفت اصفهان,895397496,895397496,11244920306090,0,0,0,0,0,2.95,0,0,
# ... (1101 rows total - see local file for complete data)
