expert,issued_at,horizon_days,price_at_issue,target_low,target_high,direction,actual_price,actual_at,source_url,locked
Milad Zamani,2026-09-01,121,218000,250000,270000,up,,,https://tejaratnews.com/%D8%B3%D9%86%D8%A7%D8%B1%DB%8C%D9%88%DB%8C-%D8%AC%D8%AF%DB%8C%D8%AF-%D8%A8%D8%B1%D8%A7%DB%8C-%D8%AF%D9%84%D8%A7%D8%B1-%D8%AF%D9%84%D8%A7%D8%B1-%DB%B2%DB%B5%DB%B0-%D8%AA%D8%A7-%DB%B2%DB%B7%DB%B0,true
مجتبی دیبا,2025-08-13,40,92570,99000,101000,up,97000,2025-09-22,https://nabzebaazaar.com/fa/news/221940/%D9%82%DB%8C%D9%85%D8%AA-%D8%AF%D9%84%D8%A7%D8%B1-%D8%A7%D9%85%D8%B1%D9%88%D8%B2-%DB%B2%DB%B2-%D9%85%D8%B1%D8%AF%D8%A7%D8%AF-%DB%B1%DB%B4%DB%B0%DB%B4-%D8%AF%D9%84%D8%A7%D8%B1-%D8%AA%D8%A7-%D9%BE%D8%A7%DB%8C%D8%A7%D9%86-%D8%AA%D8%A7%D8%A8%D8%B3%D8%AA%D8%A7%D9%86-%D8%A8%D9%87-%DA%86%D9%87-%D8%B9%D8%AF%D8%AF%DB%8C-%D9%85%DB%8C%E2%80%8C%D8%B1%D8%B3%D8%AF,true
